#Angle potential for harmonic

ANGLE1
N 1001

311 55.98 48.844388924402196 2.0129564774120006
312 56.16 48.48272871179452 2.0054903293400006
313 56.339999999999996 48.1224124058398 1.9980241812680004
314 56.519999999999996 47.76344000653805 1.9905580331960004
315 56.699999999999996 47.40581151388924 1.9830918851240005
316 56.879999999999995 47.0495269278934 1.9756257370520005
317 57.059999999999995 46.69458624855052 1.9681595889800005
318 57.239999999999995 46.34098947586061 1.9606934409080006
319 57.419999999999995 45.98873660982364 1.9532272928360006
320 57.599999999999994 45.63782765043964 1.9457611447640006
321 57.78 45.288262597708595 1.9382949966920002
322 57.96 44.94004145163051 1.9308288486200003
323 58.14 44.593164212205394 1.9233627005480003
324 58.32 44.24763087943323 1.9158965524760003
325 58.5 43.90344145331403 1.9084304044040004
326 58.68 43.56059593384779 1.9009642563320004
327 58.86 43.21909432103452 1.8934981082600004
328 59.04 42.87893661487419 1.8860319601880005
329 59.22 42.54012281536683 1.8785658121160005
330 59.4 42.202652922512435 1.8710996640440003
331 59.58 41.866526936311 1.8636335159720003
332 59.76 41.531744856762515 1.8561673679000004
333 59.94 41.198306683866996 1.8487012198280004
334 60.12 40.86621241762444 1.8412350717560004
335 60.3 40.53546205803484 1.8337689236840005
336 60.48 40.2060556050982 1.8263027756120005
337 60.66 39.87799305881452 1.8188366275400005
338 60.839999999999996 39.5512744191838 1.8113704794680006
339 61.019999999999996 39.22589968620604 1.8039043313960006
340 61.199999999999996 38.90186885988124 1.7964381833240004
341 61.379999999999995 38.5791819402094 1.7889720352520004
342 61.559999999999995 38.25783892719052 1.7815058871800005
343 61.739999999999995 37.9378398208246 1.7740397391080005
344 61.919999999999995 37.619184621111636 1.7665735910360005
345 62.099999999999994 37.30187332805164 1.7591074429640006
346 62.28 36.98590594164459 1.7516412948920004
347 62.46 36.671282461890506 1.7441751468200002
348 62.64 36.35800288878939 1.7367089987480002
349 62.82 36.04606722234123 1.7292428506760003
350 63 35.73547546254603 1.7217767026040003
351 63.18 35.42622760940379 1.7143105545320003
352 63.36 35.11832366291451 1.7068444064600004
353 63.54 34.81176362307819 1.6993782583880004
354 63.72 34.506547489894835 1.6919121103160004
355 63.9 34.20267526336443 1.6844459622440004
356 64.08 33.900146943486995 1.6769798141720005
357 64.25999999999999 33.598962530262526 1.6695136661000007
358 64.44 33.29912202369099 1.6620475180280003
359 64.62 33.00062542377242 1.6545813699560001
360 64.8 32.70347273050684 1.6471152218840004
361 64.98 32.407663943894185 1.6396490738120002
362 65.16 32.113199063934516 1.6321829257400005
363 65.34 31.82007809062779 1.6247167776680003
364 65.52 31.528301023974038 1.6172506295960005
365 65.7 31.237867863973225 1.609784481524
366 65.88 30.948778610625396 1.6023183334520006
367 66.06 30.661033263930506 1.5948521853800002
368 66.24 30.3746318238886 1.5873860373080004
369 66.42 30.089574290499627 1.5799198892360002
370 66.6 29.80586066376364 1.5724537411640005
371 66.78 29.52349094368059 1.5649875930920003
372 66.96 29.242465130250523 1.5575214450200006
373 67.14 28.962783223473387 1.5500552969480004
374 67.32 28.68444522334924 1.5425891488760006
375 67.5 28.40745112987803 1.5351230008040002
376 67.67999999999999 28.1318009430598 1.5276568527320007
377 67.86 27.85749466289451 1.5201907046600003
378 68.03999999999999 27.5845322893822 1.5127245565880005
379 68.22 27.31291382252283 1.5052584085160003
380 68.39999999999999 27.04263926231644 1.4977922604440006
381 68.58 26.77370860876299 1.4903261123720004
382 68.75999999999999 26.50612186186252 1.4828599643000007
383 68.94 26.239879021614996 1.4753938162280005
384 69.12 25.97498008802042 1.467927668156
385 69.3 25.711425061078835 1.4604615200840003
386 69.48 25.449213940790184 1.4529953720120001
387 69.66 25.188346727154514 1.4455292239400004
388 69.84 24.92882342017178 1.4380630758680002
389 70.02 24.670644019842033 1.4305969277960005
390 70.2 24.413808526165223 1.4231307797240003
391 70.38 24.158316939141397 1.4156646316520005
392 70.56 23.904169258770505 1.40819848358
393 70.74 23.651365485052597 1.4007323355080006
394 70.92 23.399905617987628 1.3932661874360002
395 71.1 23.149789657575635 1.3858000393640006
396 71.28 22.901017603816587 1.3783338912920002
397 71.46 22.653589456710517 1.3708677432200005
398 71.64 22.407505216257388 1.3634015951480003
399 71.82 22.16276488245724 1.3559354470760006
400 72 21.91936845531003 1.3484692990040004
401 72.17999999999999 21.677315934815798 1.3410031509320006
402 72.36 21.43660732097451 1.3335370028600004
403 72.53999999999999 21.197242613786198 1.3260708547880007
404 72.72 20.959221813250828 1.3186047067160003
405 72.89999999999999 20.72254491936844 1.3111385586440008
406 73.08 20.48721193213899 1.3036724105720003
407 73.25999999999999 20.25322285156252 1.2962062625000006
408 73.44 20.020577677638993 1.2887401144280004
409 73.61999999999999 19.78927641036844 1.2812739663560007
410 73.8 19.55931904975083 1.2738078182840005
411 73.98 19.33070559578618 1.266341670212
412 74.16 19.103436048474514 1.2588755221400005
413 74.34 18.877510407815784 1.2514093740680001
414 74.52 18.65292867381003 1.2439432259960004
415 74.7 18.429690846457223 1.2364770779240002
416 74.88 18.207796925757393 1.2290109298520004
417 75.06 17.987246911710503 1.2215447817800003
418 75.24 17.768040804316595 1.2140786337080005
419 75.42 17.550178603575624 1.2066124856360003
420 75.6 17.333660309487634 1.1991463375640006
421 75.78 17.118485922052585 1.1916801894920002
422 75.96 16.904655441270513 1.1842140414200006
423 76.14 16.692168867141387 1.1767478933480002
424 76.32 16.481026199665237 1.1692817452760005
425 76.5 16.271227438842025 1.1618155972040003
426 76.67999999999999 16.062772584671794 1.1543494491320005
427 76.86 15.855661637154506 1.1468833010600004
428 77.03999999999999 15.649894596290196 1.1394171529880006
429 77.22 15.445471462078828 1.1319510049160004
430 77.39999999999999 15.242392234520437 1.1244848568440007
431 77.58 15.040656913614988 1.1170187087720003
432 77.75999999999999 14.840265499362518 1.1095525607000007
433 77.94 14.64121799176299 1.1020864126280003
434 78.11999999999999 14.443514390816437 1.0946202645560006
435 78.3 14.247154696522829 1.0871541164840004
436 78.48 14.052138908882181 1.0796879684120002
437 78.66 13.858467027894509 1.0722218203400005
438 78.84 13.666139053559784 1.064755672268
439 79.02 13.47515498587803 1.0572895241960005
